name_cn,name_en,level,type,parent_province_cn,is_provincial_capital,is_sub_provincial,notes,covered,our_docs,our_site_keys
黔西南布依族苗族自治州,Qianxinan,prefecture,autonomous_prefecture,贵州省,,,,,0,
黔东南苗族侗族自治州,Qiandongnan,prefecture,autonomous_prefecture,贵州省,,,,,0,
黔南布依族苗族自治州,Qiannan,prefecture,autonomous_prefecture,贵州省,,,,,0,
昆明市,Kunming,prefecture,prefecture_city,云南省,Y,,省会,,0,
曲靖市,Qujing,prefecture,prefecture_city,云南省,,,,,0,qj
玉溪市,Yuxi,prefecture,prefecture_city,云南省,,,,Y,46,yuxi
保山市,Baoshan,prefecture,prefecture_city,云南省,,,,,0,baoshan
昭通市,Zhaotong,prefecture,prefecture_city,云南省,,,,,0,
丽江市,Lijiang,prefecture,prefecture_city,云南省,,,,,0,
普洱市,Puer,prefecture,prefecture_city,云南省,,,,,0,
临沧市,Lincang,prefecture,prefecture_city,云南省,,,,,0,
楚雄彝族自治州,Chuxiong,prefecture,autonomous_prefecture,云南省,,,,,0,
红河哈尼族彝族自治州,Honghe,prefecture,autonomous_prefecture,云南省,,,,,0,hh
文山壮族苗族自治州,Wenshan,prefecture,autonomous_prefecture,云南省,,,,,0,
西双版纳傣族自治州,Xishuangbanna,prefecture,autonomous_prefecture,云南省,,,,,0,
大理白族自治州,Dali,prefecture,autonomous_prefecture,云南省,,,,,0,
德宏傣族景颇族自治州,Dehong,prefecture,autonomous_prefecture,云南省,,,,,0,
怒江傈僳族自治州,Nujiang,prefecture,autonomous_prefecture,云南省,,,,,0,
迪庆藏族自治州,Diqing,prefecture,autonomous_prefecture,云南省,,,,,0,
西安市,Xi'an,prefecture,prefecture_city,陕西省,Y,Y,省会,Y,254,xa
铜川市,Tongchuan,prefecture,prefecture_city,陕西省,,,,,0,
宝鸡市,Baoji,prefecture,prefecture_city,陕西省,,,,Y,40,baoji
咸阳市,Xianyang,prefecture,prefecture_city,陕西省,,,,,0,
渭南市,Weinan,prefecture,prefecture_city,陕西省,,,,,0,
延安市,Yan'an,prefecture,prefecture_city,陕西省,,,,,0,
汉中市,Hanzhong,prefecture,prefecture_city,陕西省,,,,Y,71,hanzhong
榆林市,Yulin,prefecture,prefecture_city,陕西省,,,,,0,
安康市,Ankang,prefecture,prefecture_city,陕西省,,,,Y,6,ankang
商洛市,Shangluo,prefecture,prefecture_city,陕西省,,,,,0,
兰州市,Lanzhou,prefecture,prefecture_city,甘肃省,Y,,省会,,0,
嘉峪关市,Jiayuguan,prefecture,prefecture_city,甘肃省,,,,,0,
金昌市,Jinchang,prefecture,prefecture_city,甘肃省,,,,,0,
白银市,Baiyin,prefecture,prefecture_city,甘肃省,,,,,0,baiyin
天水市,Tianshui,prefecture,prefecture_city,甘肃省,,,,,0,
武威市,Wuwei,prefecture,prefecture_city,甘肃省,,,,,0,
张掖市,Zhangye,prefecture,prefecture_city,甘肃省,,,,Y,39,zhangye
平凉市,Pingliang,prefecture,prefecture_city,甘肃省,,,,Y,10,pingliang
酒泉市,Jiuquan,prefecture,prefecture_city,甘肃省,,,,,0,
庆阳市,Qingyang,prefecture,prefecture_city,甘肃省,,,,,0,
定西市,Dingxi,prefecture,prefecture_city,甘肃省,,,,Y,31,dingxi
陇南市,Longnan,prefecture,prefecture_city,甘肃省,,,,,0,
临夏回族自治州,Linxia,prefecture,autonomous_prefecture,甘肃省,,,,Y,74,linxia
甘南藏族自治州,Gannan,prefecture,autonomous_prefecture,甘肃省,,,,,0,gnzrmzf
西宁市,Xining,prefecture,prefecture_city,青海省,Y,,省会,,0,
海东市,Haidong,prefecture,prefecture_city,青海省,,,,,0,
海北藏族自治州,Haibei,prefecture,autonomous_prefecture,青海省,,,,,0,
黄南藏族自治州,Huangnan,prefecture,autonomous_prefecture,青海省,,,,,0,
海南藏族自治州,Hainan Zang,prefecture,autonomous_prefecture,青海省,,,,Y,54,hainanzhou
果洛藏族自治州,Golog,prefecture,autonomous_prefecture,青海省,,,,,0,
