nbs|National Bureau of Statistics (国家统计局)|central|61
hn_fgw|Hunan DRC (湖南发改委)|provincial|61
bjb_swj|Beijing Commerce Bureau (北京市商务局)|municipal|61
bjb_jw|Beijing Education Commission (北京市教委)|municipal|61
mwr|Ministry of Water Resources (水利部)|central|60
nx_kjt|Ningxia Science & Technology Dept (宁夏科技厅)|provincial|60
cq_gaj|重庆市公安局|provincial|60
js_scjgj|Jiangsu Market Regulation Bureau (江苏市场监管局)|provincial|60
xz_zrzyt|Tibet Natural Resources Dept (西藏自然资源厅)|provincial|59
nx_hrss|Ningxia Human Resources & Social Security Dept (宁夏人社厅)|provincial|59
cq_sthjj|重庆市生态环境局|provincial|59
nfsra|National Food & Strategic Reserves Admin (国家粮食和物资储备局)|central|59
jl_jldrc|Jilin DRC (吉林发改委)|provincial|59
bjb_tjj|Beijing Statistics Bureau (北京市统计局)|municipal|59
xz_wlt|Tibet Culture & Tourism Dept (西藏文旅厅)|provincial|58
nx_sft|Ningxia Justice Dept (宁夏司法厅)|provincial|58
fj_qb|福建侨网|provincial|58
bjb_kw|Beijing S&T Commission (北京市科委)|municipal|58
bjb_nyncj|Beijing Agriculture & Rural Affairs Bureau (北京市农业农村局)|municipal|58
nx_gxt|Ningxia Industry & IT Dept (宁夏工信厅)|provincial|57
xz_drc|Tibet DRC (西藏发改委)|provincial|56
nx_sjt|Ningxia Audit Dept (宁夏审计厅)|provincial|56
cq_nyncw|重庆市农业农村委员会|provincial|56
hn_rst|Hunan HR & Social Security Dept (湖南人社厅)|provincial|56
cq_cgj|重庆市城市管理局|provincial|55
cq_yjj|重庆市应急管理局|provincial|55
cma|China Meteorological Administration (中国气象局)|central|55
bjb_yjj|Beijing Emergency Management Bureau (北京市应急管理局)|municipal|55
klmy|克拉玛依市|municipal|55
xz_sft|Tibet Justice Dept (西藏司法厅)|provincial|54
nx_mca|Ningxia Civil Affairs Dept (宁夏民政厅)|provincial|54
nx_sthjt|Ningxia Ecology & Environment Dept (宁夏生态环境厅)|provincial|54
cq_scjgj|重庆市市场监督管理局|provincial|54
shb_whlyj|Shanghai Culture & Tourism Bureau (上海市文旅局)|municipal|54
xz_mw|Tibet Ethnic Affairs Commission (西藏民委)|provincial|53
