site_key,section,nav_links,arts_found,held_pct,raw_status,bucket,sample_url,decision
gdmz,/zwgk/,49,46,0,missing_have_scraper,crawl_now,https://smzt.gd.gov.cn/zwgk/tzgg/content/post_4844225.html,defer_body_fix
gdmz,/jggk/,47,21,0,missing_have_scraper,crawl_now,https://smzt.gd.gov.cn/jggk/jgsz/tjg/content/post_4901138.html,defer_body_fix
gdzjst,/xxgk/,24,28,0,missing_have_scraper,crawl_now,http://zfcxjst.gd.gov.cn/xxgk/wjtz/content/post_4955255.html,defer_body_fix
gdzjst,/zcjd/,9,23,0,missing_have_scraper,crawl_now,http://zfcxjst.gd.gov.cn/zcjd/dmt/content/post_4934739.html,defer_body_fix
fj_gdj,/zfzwgk/,8,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
fj_gdj,/gk/,6,0,0,needs_new_scraper,build_scraper,,build_scraper
gdee,-,0,0,0,HOMEPAGE_UNREACHABLE,sweep_unreliable,The read operation timed out,sweep_unreliable
fj_jtyst,/fzgkj/,2,70,0,missing_have_scraper,crawl_now,https://jtyst.fujian.gov.cn/fzgkj/xxgk/yaowen/bgyw/202602/t20260214_7099133.html,crawl_now
fj_jtyst,/mzwgk/,2,5,0,missing_have_scraper,crawl_now,https://jtyst.fujian.gov.cn/mzwgk/gzdt/gwdt/bgxw/202609/t20260914_7213303.htm,crawl_now
fj_sjt,/zfxxgkzl/,7,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
fj_sjt,/sjgk/,6,30,0,missing_have_scraper,crawl_now,http://sjt.fujian.gov.cn/sjgk/jgsz/201912/t20191230_5171232.htm,crawl_now
gdczt,/tzgg/,15,29,0,missing_have_scraper,crawl_now,https://czt.gd.gov.cn/ysywlj/ydmh/content/post_189155.html,defer_body_fix
gdczt,/zdlyxxgk/,13,38,0,missing_have_scraper,crawl_now,https://czt.gd.gov.cn/ysywlj/ydmh/content/post_189155.html,defer_body_fix
gdczt,/zwgk/,5,68,0,missing_have_scraper,crawl_now,https://czt.gd.gov.cn/ysywlj/ydmh/content/post_189155.html,defer_body_fix
gdczt,/zcjd/,2,29,0,missing_have_scraper,crawl_now,https://czt.gd.gov.cn/ysywlj/ydmh/content/post_189155.html,defer_body_fix
gdct,/open_newzcjd/,7,22,0,missing_have_scraper,crawl_now,https://whly.gd.gov.cn/open_newzcjd/content/post_4918141.html,defer_body_fix
gdct,/open_newqtwj/,6,22,0,missing_have_scraper,crawl_now,https://whly.gd.gov.cn/open_newqtwj/content/post_4934081.html,defer_body_fix
gdct,/open_newzwgk/,2,52,0,missing_have_scraper,crawl_now,https://whly.gd.gov.cn/open_newldfg/content/post_4894262.html,defer_body_fix
gdct,/open_newzwwgk/,2,22,0,missing_have_scraper,crawl_now,https://whly.gd.gov.cn/open_newjggk/content/post_4945550.html,defer_body_fix
gdct,/open_newzdlyxxgkzl/,2,20,0,missing_have_scraper,crawl_now,https://whly.gd.gov.cn/open_newxzcf/content/post_4925861.html,defer_body_fix
chaoyang,/zfgb/,2,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
gdny,/zwgk/,39,30,0,missing_have_scraper,crawl_now,https://dara.gd.gov.cn/wzdt2253/content/post_3227807.html,defer_body_fix
gdii,/zwgk/,10,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
gdii,/zcjd3267/,7,19,0,missing_have_scraper,crawl_now,https://gdii.gd.gov.cn/zcjd3267/content/post_4949766.html,defer_body_fix
gdii,/zcgh3227/,6,19,0,missing_have_scraper,crawl_now,https://gdii.gd.gov.cn/zcgh3227/content/post_4773025.html,defer_body_fix
fj_sthjt,/gkxx/,3,39,0,missing_have_scraper,crawl_now,https://sthjt.fujian.gov.cn/gkxx/jgzn/jgsz/201209/t20120904_122299.htm,crawl_now
gdstc,/zwgk_n/,51,78,0,missing_have_scraper,crawl_now,http://gdstc.gd.gov.cn/zwgk_n/jggk/ldzc/content/post_3023614.html,defer_body_fix
gdstc,/xxgk_n/,3,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
fj_gdb,/gkxx/,6,17,0,missing_have_scraper,crawl_now,https://gdb.fujian.gov.cn/gkxx/csxx/202303/t20230303_6124753.htm,crawl_now
shenyang,/dwgk/,7,38,0,missing_have_scraper,crawl_now,http://www.shenyang.gov.cn/dwgk/swld/sj/202505/t20250522_4854650.html,crawl_now
szft,/xxgk/,56,11,0,missing_have_scraper,crawl_now,http://www.szft.gov.cn/zf/wzljq/wzasm/content/post_10245383.html,defer_body_fix
cppcc,/zxgk/,6,111,7,missing_have_scraper,crawl_now,http://www.cppcc.gov.cn/zxgk/202405/t20240524_122367.html,crawl_now
cppcc,/jgzc/,5,0,0,needs_new_scraper,build_scraper,,build_scraper
fj_czt,/jggk/,7,48,0,missing_have_scraper,crawl_now,https://czt.fujian.gov.cn/jggk/ldhd/202608/t20260831_7206765.htm,crawl_now
fj_fgw,/jggk/,6,0,0,needs_new_scraper,build_scraper,,build_scraper
fj_mzzjt,/zfxxgkzl/,7,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
fj_yjt,/zwgk_gb/,3,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
fj_scjgj,/zfxxgkzl/,10,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
fj_scjgj,/zcjd/,3,20,0,missing_have_scraper,crawl_now,https://scjgj.fujian.gov.cn/zcjd/hygq/202606/t20260601_7154629.htm,crawl_now
fj_lyj,/gkxx/,6,3,0,missing_have_scraper,crawl_now,http://lyj.fujian.gov.cn/gkxx/ldzc/wzz/jl_wzz/202110/t20211027_5750351.htm,crawl_now
fj_lyj,/zfxxgk/,4,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
fj_gzw,/gzgk/,32,0,0,needs_new_scraper,build_scraper,,build_scraper
fj_gzw,/zcjd/,20,37,0,missing_have_scraper,crawl_now,https://gzw.fujian.gov.cn/zcjd/wjgzcfgjd/202403/t20240304_6408998.htm,crawl_now
fj_tjj,/xxgkzl/,4,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
fj_ybj,/zfxxgkzl/,6,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
fj_ybj,/jggk/,5,11,0,missing_have_scraper,crawl_now,https://ybj.fujian.gov.cn/jggk/jgzn/202404/t20240417_6431508.htm,crawl_now
fj_wb,/jggk/,3,1,0,missing_have_scraper,crawl_now,http://wb.fujian.gov.cn/zwgk/zfxxgkzl/gkml/jgzn/fjsyx/202308/t20230810_6223843.htm,crawl_now
fj_wjw,/jggk/,12,46,0,missing_have_scraper,crawl_now,https://wjw.fujian.gov.cn/jggk/jgzn/jgsz/202410/t20241025_6553932.htm,crawl_now
bjd_huairou,/zfxxgkzl/,8,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
fj_jyt,/gkxx/,7,2,0,missing_have_scraper,crawl_now,https://jyt.fujian.gov.cn/gkxx/fzjj/202509/t20250923_7013681.htm,crawl_now
