rank,normalized_ref,demand,kind,target_level,citation_types,inferred_issuer,inferred_institution,inferred_site,coverage_status
185,中山市城市总体规划（2011-2020年）,29,title,unknown,named:29+llm:4,,Zhongshan (中山),zhongshan,have
186,事业单位工作人员处分暂行规定,29,title,unknown,named:29+llm:2,,unknown,,unknown
187,北京城市总体规划（2016年—2035年）,29,title,unknown,named:29+llm:2,,city:北京城市,,unknown
188,国务院关于进一步深化城镇住房制度改革加快住房建设的通知,29,title,central,named:29,,State Council (国务院),,have
189,国家发展改革委、市场监管总局关于印发<人民防空防护设备检验检测管理办法>的通知,29,title,central,named:29+llm:4,发改国防规,NDRC (国家发改委),,have
190,大鹏新区在站博士后生活补贴操作规程,29,title,district,llm:29,,unknown,,unknown
191,广东省城市市容和环境卫生管理规定,29,title,provincial,named:29,,Guangdong (广东),gd,have
192,广东省教师资格申请人员体格检查标准（2013年修订）,29,title,provincial,named:29,,Guangdong (广东),gd,have
193,深人社规〔2019〕9号,29,formal,municipal,formal:29,深人社规,Shenzhen (深圳),sz,have
194,深圳市大鹏新区科技创新和产业发展专项资金管理办法,29,title,district,named:22+llm:12,深鹏办规,Shenzhen (深圳),sz,have
195,深圳市房屋安全管理办法,29,title,municipal,named:29+llm:5,,Shenzhen (深圳),sz,have
196,深府〔2015〕73号,29,formal,municipal,formal:29,深府,Shenzhen (深圳),sz,have
197,粤府〔2009〕78号,29,formal,provincial,formal:29,粤府,Guangdong (广东),gd,have
198,罗湖区民政局 区社会组织党委关于加强社会组织负责人人选审核工作的通知,29,title,district,named:29,,unknown,,unknown
199,财建[2009]213号,29,title,unknown,llm:29,财建,Ministry of Finance (财政部),,have
200,关于深化职称制度改革的实施意见,28,title,unknown,named:22+llm:7,闽委办发,Fujian (福建),fujian,have
201,地方党政领导干部食品安全责任制规定,28,title,unknown,named:28+llm:1,,unknown,,unknown
202,大中型水利水电工程移民安置前期工作管理暂行办法,28,title,unknown,named:28+llm:16,水规计,Ministry of Water Resources (水利部),,have
203,建设用地容积率调整规范,28,title,unknown,llm:28,,unknown,,unknown
204,普通高等学校招生违规行为处理暂行办法,28,title,unknown,named:28+llm:1,,unknown,,unknown
205,水规计〔2010〕33号,28,formal,unknown,formal:28,水规计,Ministry of Water Resources (水利部),,have
206,深圳市事业单位公开招聘工作人员办法,28,title,municipal,named:28+llm:1,,Shenzhen (深圳),sz,have
207,深圳市工业及其他产业用地供应管理办法,28,title,municipal,named:28+llm:1,深府规,Shenzhen (深圳),sz,have
208,珠字〔2009〕9号,28,formal,unknown,formal:28,珠字,Zhuhai (珠海),zhuhai,have
209,节能产品政府采购实施意见,28,title,unknown,named:28,,unknown,,unknown
210,《机动车登记规定》第三十一条第一项,27,title,unknown,llm:27,,unknown,,unknown
211,中共中央国务院关于加快推进生态文明建设的意见,27,title,central,named:28,,CPC Central Committee (中共中央),,party
212,中共中央国务院关于打赢脱贫攻坚战的决定,27,title,central,named:27+llm:3,中发,CPC Central Committee (中共中央),,party
213,公务员录用违规违纪行为处理办法,27,title,unknown,named:27,,unknown,,unknown
214,国有土地上房屋征收评估办法,27,title,unknown,named:27+llm:3,,unknown,,unknown
215,广东省实施<中华人民共和国消防法>办法,27,title,provincial,named:28+llm:1,,Guangdong (广东),gd,have
216,惠州市加强建设项目征地拆迁管理规定（惠府令39号）,27,title,unknown,llm:27,,Huizhou (惠州),huizhou,have
217,深圳建设中国特色社会主义先行示范区综合改革试点实施方案（2020—2025年）,27,title,unknown,named:27+llm:3,中办发,CPC Central Committee General Office (中共中央办公厅),,party
218,财政部国家税务总局工业和信息化部科技部关于免征新能源汽车车辆购置税的公告,27,title,central,named:27,,Ministry of Finance (财政部),,have
219,资产评估行业财政监督管理办法,27,title,unknown,named:27+llm:11,,unknown,,unknown
220,中共珠海市委珠海市人民政府关于印发〈珠海市人民政府机构改革方案〉〈珠海市部分市直机构调整方案〉〈珠海市人民政府机构改革方案实施意见〉的通知,26,title,unknown,named:26,,unknown,,unknown
221,反倾销和反补贴条例,26,title,unknown,named:28+llm:11,,National law/admin regulation (全国人大/国务院 · npc),npc,law-db
222,婴幼儿配方乳粉生产许可审查细则（2013版）,26,title,unknown,named:26+llm:13,,unknown,,unknown
223,广东省森林采伐管理办法,26,title,provincial,named:26,,Guangdong (广东),gd,have
224,深圳市人民政府关于发展壮大战略性新兴产业集群和培育发展未来产业的意见,26,title,municipal,named:26+llm:5,深府,Shenzhen (深圳),sz,have
225,深圳市城市供水水质公报实施方案,26,title,municipal,named:26,,Shenzhen (深圳),sz,have
226,深圳市房屋征收与补偿实施办法（试行）,26,title,municipal,llm:26,,Shenzhen (深圳),sz,have
227,深教〔2015〕436号,26,formal,unknown,formal:26,深教,Shenzhen (深圳),sz,have
228,绿色建筑评价标准,26,title,unknown,named:26+llm:1,,unknown,,unknown
229,长江三角洲区域一体化发展规划纲要,26,title,unknown,named:26+llm:2,,unknown,,unknown
230,阳江市人民政府印发〈阳江市市辖区征收土地青苗及附着物补偿规定〉的通知,26,title,unknown,named:26+llm:3,阳府,Yangjiang (阳江),yangjiang,have
231,中共中央国务院关于深化科技体制改革加快国家创新体系建设的意见,25,title,central,named:25+llm:4,,CPC Central Committee (中共中央),,party
232,中共中央国务院关于进一步加强城市规划建设管理工作的若干意见,25,title,central,named:25+llm:2,,CPC Central Committee (中共中央),,party
233,中山市城市总体规划（2011-2020）,25,title,unknown,named:25+llm:3,,Zhongshan (中山),zhongshan,have
234,人民币管理条例,25,title,unknown,named:24+llm:2,,National law/admin regulation (全国人大/国务院 · npc),npc,law-db
235,人防工程监理行政许可资质管理办法（国人防〔2013〕227号）,25,title,unknown,llm:25,国人防,issuer:国人防,,unknown
236,关于政府采购支持监狱企业发展有关问题的通知,25,title,unknown,named:25+llm:2,,unknown,,unknown
237,国务院关于加快发展服务业的若干意见,25,title,central,named:25,,State Council (国务院),,have
238,工业和信息化部办公厅关于集中组织开展典型案例征集工作的通知,25,title,unknown,named:25+llm:1,工信厅办函,MIIT (工信部),,have
239,广东省法治政府建设实施纲要(2016-2020年,25,title,provincial,named:24+llm:2,,Guangdong (广东),gd,have
240,揭府办〔2012〕104号,25,formal,unknown,formal:25,揭府办,Jieyang (揭阳),jieyang,have
241,深发〔2016〕9号,25,formal,municipal,formal:25,深发,Shenzhen (深圳),sz,have
242,深圳市法治政府建设实施方案,25,title,municipal,named:25+llm:9,,Shenzhen (深圳),sz,have
243,营业税改征增值税试点过渡政策的规定,25,title,unknown,named:25+llm:5,财税,Ministry of Finance (财政部),,have
244,藏财教〔2018〕76号,25,formal,unknown,formal:25,藏财教,Tibet (西藏),xizang,have
245,转发市国土资源局揭阳市区土地规划控制和征收工作方案的通知,25,title,unknown,named:25,,city:转发市,,unknown
246,《机动车登记规定》第四十九条,24,title,unknown,llm:24,,unknown,,unknown
247,上海市人民政府关于修改⟨上海市化学危险物品生产安全监督管理办法⟩等32件市政府规章和规范性文件的决定,24,title,unknown,named:24,,Shanghai (上海),sh,have
248,中共中央国务院关于深化体制机制改革加快实施创新驱动发展战略的若干意见,24,title,central,named:24+llm:2,,CPC Central Committee (中共中央),,party
249,中共中央国务院关于深化国有企业改革的指导意见,24,title,central,named:24+llm:3,中发,CPC Central Committee (中共中央),,party
250,中共广东省委关于深入推进绿美广东生态建设的决定,24,title,provincial,named:24,,province:中共广东省,,unknown
251,京津冀协同发展规划纲要,24,title,unknown,named:22+llm:3,,unknown,,unknown
252,人社部发〔2016〕140号,24,formal,central,formal:24,人社部发,Ministry of Human Resources & Social Security (人社部),,blocked
253,公务员录用考察办法（试行）,24,title,unknown,named:24+llm:2,,unknown,,unknown
254,关于实行党政领导干部问责的暂行规定,24,title,unknown,named:25+llm:3,,unknown,,unknown
255,卓越绩效评价准则实施指南,24,title,unknown,named:24,,unknown,,unknown
256,发改电〔2015〕10号,24,formal,central,formal:24,发改电,NDRC (国家发改委),,have
257,国家发展改革委关于降低国内成品油价格的通知,24,title,central,named:24+llm:13,发改电,NDRC (国家发改委),,have
258,国家税务总局公告2012年第24号,24,title,central,llm:24,,State Taxation Administration (税务总局),,have
259,广东省2025年考试录用公务员专业参考目录,24,title,provincial,llm:24,,Guangdong (广东),gd,have
260,广东省事业单位2022年集中公开招聘高校毕业生公告,24,title,provincial,named:24,,Guangdong (广东),gd,have
261,强制性产品认证管理规定,24,title,unknown,named:24+llm:11,,unknown,,unknown
262,法治政府建设实施纲要（2015－2020年）,24,title,unknown,named:23+llm:1,,unknown,,unknown
